"numero";"destination";"avion";"statut";"heure_creation";"heure_decollage";"heure_arrivee"
"8AFCY3";"Marseille";"QKTW";"prevu";"2025-06-04 17:09:09.530113";"";""
"OO7F08";"Hong Kong";"DGYB";"prevu";"2025-06-04 17:09:09.530226";"";""
"VLDO9O";"Marseille";"WUPH";"prevu";"2025-06-04 17:09:09.530276";"";""
"P7DNAA";"Marseille";"GCTQ";"prevu";"2025-06-04 17:09:09.530285";"";""
"KNFDS0";"Marseille";"IQLT";"prevu";"2025-06-04 17:09:09.530310";"";""
"AIMRZP";"Marseille";"RFXO";"prevu";"2025-06-04 17:09:09.530335";"";""
"NREPHQ";"Marseille";"EAEW";"prevu";"2025-06-04 17:09:09.530344";"";""
"E4XDBZ";"Hong Kong";"OTKB";"prevu";"2025-06-04 17:09:09.530408";"";""
"ZL7GDO";"Hong Kong";"DUPJ";"prevu";"2025-06-04 17:09:09.530433";"";""
"P19EK6";"Marseille";"TPZQ";"prevu";"2025-06-04 17:09:09.530452";"";""
"AZBDH7";"Hong Kong";"USGW";"prevu";"2025-06-04 17:09:09.530501";"";""
"1QM5NU";"Marseille";"HZSU";"prevu";"2025-06-04 17:09:09.530509";"";""
"E78NYJ";"Hong Kong";"BNCU";"prevu";"2025-06-04 17:09:09.530517";"";""
"MCJ7W5";"Hong Kong";"ALNX";"prevu";"2025-06-04 17:09:09.530525";"";""
"TVXPDS";"Hong Kong";"APGP";"prevu";"2025-06-04 17:09:09.530533";"";""
"O5LV8C";"Brisbane";"XNJK";"prevu";"2025-06-04 17:09:09.530127";"";""
"8RMBMR";"Honolulu";"QBSW";"prevu";"2025-06-04 17:09:09.530150";"";""
"41RNK5";"Brisbane";"JHGE";"prevu";"2025-06-04 17:09:09.530167";"";""
"W8N146";"Brisbane";"KYVP";"prevu";"2025-06-04 17:09:09.530178";"";""
"OJFGR6";"Honolulu";"PGKC";"prevu";"2025-06-04 17:09:09.530187";"";""
"BXSXAG";"Brisbane";"UVJU";"prevu";"2025-06-04 17:09:09.530200";"";""
"6Z5V6K";"Honolulu";"AZFM";"prevu";"2025-06-04 17:09:09.530209";"";""
"EPJDVV";"Brisbane";"TLSM";"prevu";"2025-06-04 17:09:09.530218";"";""
"EL321N";"Brisbane";"HQKP";"prevu";"2025-06-04 17:09:09.530251";"";""
"PELUKK";"Brisbane";"NJIV";"prevu";"2025-06-04 17:09:09.530268";"";""
"R20R7J";"Brisbane";"UOEB";"prevu";"2025-06-04 17:09:09.530293";"";""
"1TGNEQ";"Brisbane";"NWQO";"prevu";"2025-06-04 17:09:09.530302";"";""
"8RA5ES";"Honolulu";"OBDH";"prevu";"2025-06-04 17:09:09.530318";"";""
"1W7IHG";"Brisbane";"LFAY";"prevu";"2025-06-04 17:09:09.530327";"";""
"337VBG";"Honolulu";"YKKA";"prevu";"2025-06-04 17:09:09.530352";"";""
"NG7P43";"Honolulu";"FVDF";"prevu";"2025-06-04 17:09:09.530390";"";""
"28KDWN";"Honolulu";"MRQX";"prevu";"2025-06-04 17:09:09.530398";"";""
"FALBT2";"Honolulu";"OJMH";"prevu";"2025-06-04 17:09:09.530416";"";""
"4SUWG4";"Brisbane";"CQGK";"prevu";"2025-06-04 17:09:09.530424";"";""
"HUQC2U";"Brisbane";"YTHO";"prevu";"2025-06-04 17:09:09.530493";"";""
"GO3JDE";"Nantes";"JOJH";"prevu";"2025-06-04 17:09:09.530140";"";""
"1R9YYE";"Nantes";"RNHN";"prevu";"2025-06-04 17:09:09.530260";"";""
"K121DI";"Nantes";"KNEV";"prevu";"2025-06-04 17:09:09.530360";"";""
"DEL9HR";"Nantes";"XHYP";"prevu";"2025-06-04 17:09:09.530469";"";""
"M0KDPP";"Miami";"PLHU";"prevu";"2025-06-04 17:09:09.530049";"";""
"8WJZUL";"Miami";"DHZJ";"prevu";"2025-06-04 17:09:09.530158";"";""
"EZBO5U";"Miami";"XVLQ";"prevu";"2025-06-04 17:09:09.530235";"";""
"DL47T5";"Miami";"OLJV";"prevu";"2025-06-04 17:09:09.530243";"";""
"LWC4XM";"Miami";"TSED";"prevu";"2025-06-04 17:09:09.530368";"";""
"JFV74K";"Miami";"UZOS";"prevu";"2025-06-04 17:09:09.530382";"";""
"Q8Y4HG";"Miami";"JFNO";"prevu";"2025-06-04 17:09:09.530443";"";""
"2GW24J";"Miami";"EIKG";"prevu";"2025-06-04 17:09:09.530461";"";""
"NDSI0L";"Miami";"ZDRO";"prevu";"2025-06-04 17:09:09.530477";"";""
"TTAZH9";"Miami";"UNKT";"prevu";"2025-06-04 17:09:09.530485";"";""
